Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0492~Microsome	30	7.389162561576355	2.1059972320869425E-17	VAC14, LRRC59, CYP3A13, CYP3A59, HSPA13, CYP2C39, CYP2C38, CYP2B9, CYP2C37, CYP26B1, CYP2C54, CYP2B10, CYP2C50, CYP2F2, CYP2J6, SEC16A, CYP4A10, FMO1, FMO2, CYP4A14, CYP3A25, FMO3, CYP2C29, CYP2D26, CYP39A1, CYP2C69, CYP2C68, AADAC, CYP2A22, CYP2E1	358	118	10380	7.371461035886752	8.634588651556464E-16	8.634588651556464E-16	7.581590035512993E-16
INTERPRO	IPR001128:Cyt_P450	22	5.41871921182266	2.8855695907636497E-16	CYP2J6, CYP4A10, CYP3A13, CYP4A14, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP39A1, CYP2C69, CYP26B1, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	388	62	11584	10.59394745593615	4.426459199180499E-13	2.7848283508155104E-13	2.7764466251546665E-13
INTERPRO	IPR036396:Cyt_P450_sf	22	5.41871921182266	4.190862830422138E-16	CYP2J6, CYP4A10, CYP3A13, CYP4A14, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP39A1, CYP2C69, CYP26B1, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	388	63	11584	10.425789559810179	5.901945598907332E-13	2.7848283508155104E-13	2.7764466251546665E-13
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	24	5.911330049261084	6.110099727996435E-16	CYP2J6, CYP4A10, FMO1, FMO2, CYP3A13, CYP4A14, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP39A1, CYP2C69, CYP26B1, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	385	79	11355	8.960052605622225	5.042632977847461E-13	4.625345494093302E-13	4.5092535992613693E-13
UP_KW_CELLULAR_COMPONENT	KW-0256~Endoplasmic reticulum	89	21.921182266009854	1.0362618903567121E-15	ERO1B, ATP2A2, CYP3A13, MIA3, MAGT1, CYP3A59, CYP2C39, CYP2C38, HERPUD1, CYP2C37, UFL1, CYP26B1, CYP2B10, UBXN4, TMED7, RAB5IF, EIF5A, PDIA3, GABARAPL1, CERS6, UGT1A1, CYP4A10, ENTPD5, SIGMAR1, CYP4A14, TEX2, PDIA6, PJA2, PDIA4, CYP2D26, PTP4A1, CYP39A1, DNAJC3, STIM1, SELENOS, CANX, DNAJB11, CYP2E1, CRELD2, ATF6, SQSTM1, LRRC59, VAC14, VCP, RETSAT, GOSR2, DERL3, MTTP, SEL1L, ILDR2, MTMR9, HSD17B12, HSPA13, MESD, HSP90B1, CYP2B9, PRDX4, CYP2C54, ORMDL2, CYP2C50, MLEC, SCAP, CYP2F2, UGGT1, NUS1, SDF2L1, CYP2J6, HSPA5, SEC16A, EDEM1, SYVN1, FMO1, FMO2, FMO3, CYP3A25, CYP2C29, A1CF, MANF, SULF2, CYP2C69, CYP2C68, AADAC, CES1G, HYOU1, CALR, STT3B, SEC24D, CRAT, CPEB4	358	1059	10380	2.4367354044344562	4.0967229608668276E-14	2.1243368752312597E-14	1.8652714026420818E-14
INTERPRO	IPR017972:Cyt_P450_CS	21	5.172413793103448	1.1126302102132035E-15	CYP2J6, CYP4A10, CYP3A13, CYP4A14, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP2C69, CYP26B1, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	388	58	11584	10.809811589050835	1.475486399726833E-12	4.928951831244491E-13	4.914116761774982E-13
GOTERM_MF_DIRECT	GO:0016712~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	18	4.433497536945813	5.0295993799908E-15	CYP2J6, CYP3A13, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP2C69, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	385	41	11355	12.948368704466265	3.781974733385596E-12	1.9037033653265177E-12	1.855922171216605E-12
GOTERM_MF_DIRECT	GO:0008392~arachidonate epoxygenase activity	16	3.9408866995073892	1.2160144025070231E-14	CYP2J6, CYP4A10, CYP4A14, CYP2C29, CYP2C39, CYP2C38, CYP2B9, CYP2C37, CYP2C69, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	385	31	11355	15.222454964390447	9.244827126053679E-12	3.0684096756593886E-12	2.991395430167277E-12
KEGG_PATHWAY	mmu00830:Retinol metabolism	24	5.911330049261084	1.867481844103698E-14	UGT1A1, RETSAT, RDH9, CYP4A10, CYP3A13, CYP4A14, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2B9, CYP2C37, RDH16F2, CYP2C69, ADH4, CYP26B1, CYP2C68, CYP2C54, CYP2B10, CYP2A22, ALDH1A1, CYP2C50, AOX1	247	72	5496	7.417004048582997	5.446310069601168E-12	5.4530469847827985E-12	5.247623981931392E-12
UP_KW_MOLECULAR_FUNCTION	KW-0503~Monooxygenase	22	5.41871921182266	3.086954487149936E-14	CYP2J6, CYP4A10, FMO1, FMO2, CYP3A13, CYP4A14, CYP3A25, FMO3, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP39A1, CYP2C69, CYP26B1, CYP2C54, CYP2B10, CYP2C50, CYP2E1, CYP2F2	259	70	6951	8.434749034749034	2.1296298058359753E-12	2.1299985961334557E-12	2.0991290512619565E-12
COG_ONTOLOGY	Secondary metabolites biosynthesis, transport, and catabolism	23	5.665024630541872	4.199614401216755E-14	RETSAT, CYP2J6, CYP4A10, CYP3A13, CYP4A14, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP39A1, CYP2C69, CYP26B1, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	69	71	1445	6.784037558685445	7.134293156241256E-13	6.719383041946808E-13	6.299421601825132E-13
GOTERM_MF_DIRECT	GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	22	5.41871921182266	1.5979028350261532E-13	CYP2J6, CYP4A10, CYP3A13, CYP4A14, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP39A1, CYP2C69, CYP26B1, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	385	81	11355	8.01058201058201	1.2093914758537494E-10	3.0240311152869946E-11	2.948130730623253E-11
GOTERM_BP_DIRECT	GO:0019373~epoxygenase P450 pathway	14	3.4482758620689653	2.2191173036480315E-13	CYP2J6, CYP2C29, CYP2C39, CYP2C38, CYP2B9, CYP2C37, CYP2C69, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	388	25	11449	16.524329896907215	4.977970258224218E-10	4.977480112082535E-10	4.933097766009574E-10
INTERPRO	IPR002401:Cyt_P450_E_grp-I	18	4.433497536945813	2.966713420106685E-13	CYP2J6, CYP4A10, CYP4A14, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP39A1, CYP2C69, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	388	51	11584	10.537295330503335	3.942499660070098E-10	9.856905338304461E-11	9.827238204103394E-11
INTERPRO	IPR050182:Cytochrome_P450_fam2	15	3.6945812807881775	4.663343744429515E-13	CYP2J6, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP2C69, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	388	32	11584	13.994845360824744	6.197042878852699E-10	1.2395167672693651E-10	1.2357860922738215E-10
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	51	12.561576354679804	4.869479121670641E-13	ABCD2, CROT, VLDLR, CYP2C39, CYP2C38, CYP2C37, CYP26B1, LIPC, CPT2, AOX1, HMGCS2, ACADM, ACAD10, PLA2G12A, SDS, CERS6, MECR, PCYT2, UGT1A1, CYP4A10, ECH1, CYP39A1, PLPP5, ALDH1A1, CYP2E1, ACOT4, ACOT3, IDI1, MTMR2, RETSAT, MGST3, ABHD2, AKR1D1, MTTP, LCAT, HSD17B12, ACNAT2, ACNAT1, ACAT1, C3, ADH4, SULT1E1, SCAP, APOB, ST3GAL1, NUS1, EPHX2, CYP2C29, AADAC, CES1G, CRAT	213	535	6830	3.0567329208898246	4.62596627670564E-11	4.626005165587109E-11	4.626005165587109E-11
