Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005576~extracellular region	102	23.28767123287671	4.191700866391797E-24	SPON2, SERPINE2, IHH, CLU, C4A, EFEMP1, TNFSF10, LEPR, PRSS8, POSTN, FST, IGFBP2, PCOLCE, MIF, MR1, OLFM3, ABCG2, CYP4A12A, CPB2, CYP4A12B, CNP, NID2, FBLN5, C2, TMEM25, DPP7, APOM, C6, C9, SERPINH1, PLTP, IL11RA1, CELA1, COL1A1, COL1A2, MAN2B2, PRXL2A, SERPINB6B, COL5A2, CSPG5, H2-Q10, GASK1A, MOXD1, IGHM, MUP20, MUP21, COL14A1, AKR1B1, DBI, C8B, MUP22, SMPD3, GPI1, SERPINA1A, C8G, KLK1B4, ACP5, ACP3, GUSB, HGFAC, MANBA, ADGRV1, MME, ANXA5, MUP15, MUP16, MUP17, MUP18, MUP7, MUP11, SERPINA1E, MUP12, MUP1, MUP2, CES4A, IL17RB, TGFBR2, MUP14, MUP3, MUP8, MUP19, MUP9, MMP15, NRG4, TFF3, FBP1, ITIH5, COL15A1, TNXB, H2-Q6, LAMA3, H2-Q7, H2-Q4, LRP2, OLFML1, SAMD1, GSN, F11, VEGFB, FABP5, KCP, CD9	417	963	11609	2.9487139260554174	1.8108147742812562E-21	1.8108147742812562E-21	1.7688977656173383E-21
INTERPRO	IPR012674:Calycin	22	5.0228310502283104	2.3300472841320318E-23	MUP20, MUP21, MUP15, MUP16, MUP17, MUP18, MUP7, MUP11, MUP22, MUP1, MUP12, MUP2, MUP3, MUP14, FABP1, APOM, C8G, MUP8, FABP5, MUP19, MUP9, RBP1	416	32	11584	19.14423076923077	3.2038150156815434E-20	3.2038150156815434E-20	3.157214069998903E-20
INTERPRO	IPR002971:Maj_urinary	17	3.881278538812785	9.111003533902665E-23	MUP20, MUP21, MUP15, MUP16, MUP17, MUP18, MUP7, MUP11, MUP22, MUP1, MUP12, MUP2, MUP3, MUP14, MUP8, MUP19, MUP9	416	17	11584	27.846153846153847	1.2527629859116164E-19	6.263814929558082E-20	6.172704894219055E-20
UP_KW_DOMAIN	KW-0732~Signal	137	31.27853881278539	1.6044109865679137E-22	SPON2, TPMT, SERPINE2, IHH, CLU, C4A, EFEMP1, CDH1, LEPR, PRSS8, POSTN, ENDOG, FST, IGFBP2, F2R, ADAM11, ACSL5, PCOLCE, MR1, TPST2, OLFM3, IGSF8, CYP4A12A, CPB2, CYP4A12B, CHRNA4, TMTC2, NID2, TTBK1, FBLN5, ACACA, C2, TMEM25, DPP7, APOM, C6, RDH11, C9, SERPINH1, CYC1, PRODH, PLTP, IL11RA1, GRIA3, CD276, FDPS, PRNP, CADM4, FZD7, CELA1, COL1A1, TMIE, COL1A2, CYP2C23, MAN2B2, REEP4, COL5A3, COL5A2, CSPG5, IFI27L2A, H2-Q10, GASK1A, FKBP11, MOXD1, MUP20, MUP21, UGT2B1, COL14A1, AATK, C8B, MUP22, ROBO1, SERPINA1A, CES2B, CES2C, C8G, GM2A, KLK1B4, CES2E, CES2G, ACP5, ACP3, GUSB, HGFAC, MANBA, ADGRV1, MUP15, MUP16, MUP17, MUP18, MUP7, TENT5A, MUP11, SERPINA1E, MUP12, MUP1, MUP2, CES4A, IL17RB, TGFBR2, MUP14, MUP3, ADGRF1, MUP8, MUP19, MUP9, MMP15, TFF3, TLCD1, ITIH5, COL15A1, TNXB, H2-Q6, LAMA3, H2-Q7, H2-Q4, LRP2, OLFML1, SUSD4, UGT1A5, D17H6S56E-5, GABBR2, LINGO4, RRM2, GSN, UGT2B38, UGT2B37, F11, VEGFB, SEMA4G, PDZK1IP1, GALC, DHRS7, CD4, KCP, RECK, NECTIN2	278	1767	7714	2.151388566566102	4.171468565076576E-21	4.171468565076576E-21	4.0110274664197844E-21
UP_KW_LIGAND	KW-0590~Pheromone-binding	17	3.881278538812785	2.6862849616739234E-22	MUP20, MUP21, MUP15, MUP16, MUP17, MUP18, MUP7, MUP11, MUP22, MUP1, MUP12, MUP2, MUP3, MUP14, MUP8, MUP19, MUP9	181	17	4586	25.337016574585633	9.13336886969134E-21	9.13336886969134E-21	8.596111877356555E-21
INTERPRO	IPR002345:Lipocalin	17	3.881278538812785	7.917050118558912E-22	MUP20, MUP21, MUP15, MUP16, MUP17, MUP18, MUP7, MUP11, MUP22, MUP1, MUP12, MUP2, MUP3, MUP14, MUP8, MUP19, MUP9	416	18	11584	26.2991452991453	1.0885943913018505E-18	3.628647971006168E-19	3.575867636882442E-19
GOTERM_MF_DIRECT	GO:0005550~pheromone binding	17	3.881278538812785	1.0465838339185703E-21	MUP20, MUP21, MUP15, MUP16, MUP17, MUP18, MUP7, MUP11, MUP22, MUP1, MUP12, MUP2, MUP3, MUP14, MUP8, MUP19, MUP9	415	18	11355	25.84136546184739	8.979689295021333E-19	8.979689295021333E-19	8.801770043255177E-19
INTERPRO	IPR000566:Lipocln_cytosolic_FA-bd_dom	20	4.5662100456621	3.196342506254135E-21	MUP20, MUP21, MUP15, MUP16, MUP17, MUP18, MUP7, MUP11, MUP22, MUP1, MUP12, MUP2, MUP3, MUP14, C8G, MUP8, FABP5, MUP19, MUP9, RBP1	416	29	11584	19.20424403183024	4.394970946099436E-18	1.098742736524859E-18	1.0827610239935884E-18
INTERPRO	IPR022272:Lipocalin_CS	18	4.10958904109589	4.232014272363706E-21	MUP20, MUP21, MUP15, MUP16, MUP17, MUP18, MUP7, MUP11, MUP22, MUP1, MUP12, MUP2, MUP3, MUP14, C8G, MUP8, MUP19, MUP9	416	22	11584	22.783216783216783	5.819019624500096E-18	1.1638039249000192E-18	1.1468758678105643E-18
UP_SEQ_FEATURE	DOMAIN:Lipocalin/cytosolic fatty-acid binding	17	3.881278538812785	3.2261670572339066E-19	MUP21, MUP15, MUP16, MUP17, MUP18, MUP7, MUP11, MUP22, MUP1, MUP12, MUP2, MUP3, MUP14, C8G, MUP8, MUP19, MUP9	406	22	11328	21.560232870577696	4.106910663858763E-16	4.106910663858763E-16	4.0907798285725933E-16
